DialPlanName,Name,Prefix,Tag
cattolica,PSTN,*,PSTN
cattolica,+39022773772,+39022773772,S4B
cattolica,+39022773780,+39022773780,S4B
cattolica,+39022773786,+39022773786,S4B
cattolica,+39022773792,+39022773792,S4B
cattolica,+39022773794,+39022773794,S4B
cattolica,+39022773805,+39022773805,S4B
cattolica,+39022773813,+39022773813,S4B
cattolica,+39022773821,+39022773821,S4B
cattolica,+39022773829,+39022773829,S4B
cattolica,+39022773844,+39022773844,S4B
cattolica,+39022773849,+39022773849,S4B
cattolica,+39022773850,+39022773850,S4B
cattolica,+39022773851,+39022773851,S4B
cattolica,+39022773852,+39022773852,S4B
cattolica,+39022773855,+39022773855,S4B
cattolica,+39022773863,+39022773863,S4B
cattolica,+39022773867,+39022773867,S4B
cattolica,+39022773876,+39022773876,S4B
cattolica,+39022773878,+39022773878,S4B
cattolica,+39022773879,+39022773879,S4B
cattolica,+39022773882,+39022773882,S4B
cattolica,+39022773883,+39022773883,S4B
cattolica,+39022773884,+39022773884,S4B
cattolica,+39022773888,+39022773888,S4B
cattolica,+39022773890,+39022773890,S4B
cattolica,+39022773891,+39022773891,S4B
cattolica,+39022773892,+39022773892,S4B
cattolica,+39022773893,+39022773893,S4B
cattolica,+39022773894,+39022773894,S4B
cattolica,+39022773895,+39022773895,S4B
cattolica,+39022773896,+39022773896,S4B
cattolica,+39022773897,+39022773897,S4B
cattolica,+39022773898,+39022773898,S4B
cattolica,+39022773899,+39022773899,S4B
cattolica,+39022773901,+39022773901,S4B
cattolica,+39022773902,+39022773902,S4B
cattolica,+39022773904,+39022773904,S4B
cattolica,+39022773905,+39022773905,S4B
cattolica,+39022773914,+39022773914,S4B
cattolica,+39022773916,+39022773916,S4B
cattolica,+39022773918,+39022773918,S4B
cattolica,+39022773919,+39022773919,S4B
cattolica,+39022773927,+39022773927,S4B
cattolica,+39022773930,+39022773930,S4B
cattolica,+39022773932,+39022773932,S4B
cattolica,+39022773933,+39022773933,S4B
cattolica,+39022773934,+39022773934,S4B
cattolica,+39022773936,+39022773936,S4B
cattolica,+39022773937,+39022773937,S4B
cattolica,+39022773944,+39022773944,S4B
cattolica,+39022773948,+39022773948,S4B
cattolica,+39022773958,+39022773958,S4B
cattolica,+39022773959,+39022773959,S4B
cattolica,+39022773962,+39022773962,S4B
